CIK,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph,FFI49,FFI30,FFI12
56047,31-Dec-20,6,0,0,3,0,12,41,25,12
56679,"April 30, 2020",44,2,6,12,2,168,34,22,12
56701,NONE,16,4,0,5,0,30,6,4,2
56868,NONE,14,0,0,8,0,47,30,19,4
56873,30-Jan-21,21,3,0,12,3,21,43,27,9
56978,3-Oct-20,23,9,0,11,2,70,21,13,3
57131,25-Apr-20,87,14,7,16,7,84,9,6,2
57515,30-Jun-20,31,5,0,19,0,15,2,1,1
57725,NONE,28,6,0,14,0,51,13,8,10
58361,27-Sep-20,15,0,1,16,0,3,8,5,1
59255,31-Dec-20,30,3,0,9,2,84,14,9,5
59440,"December 31, 2020",39,0,0,30,0,49,47,29,11
59527,"December 31, 2020",14,2,0,4,0,96,21,13,3
59558,31-Dec,33,0,0,17,0,29,46,29,11
60086,31-Dec-20,2,0,0,0,0,0,46,29,11
60519,31-Dec-20,23,1,0,9,0,58,17,11,12
60667,29-Jan-21,31,12,0,10,5,67,43,27,9
60714,31-Dec-20,32,2,1,16,0,74,14,9,5
60977,31-Dec-20,73,8,2,42,3,128,23,15,2
61004,NONE,22,6,0,4,4,74,37,23,6
61398,31-Dec-20,7,0,0,10,0,63,30,19,4
61986,"December 31, 2020",37,4,0,16,0,46,21,13,3
62234,31-Dec-20,67,0,0,18,0,13,7,4,12
62362,NONE,3,0,0,4,0,9,48,29,11
62709,31-Dec-20,35,2,0,8,1,147,46,29,11
62996,31-Dec-20,23,5,0,7,2,52,17,11,3
63276,"December 31, 2020",24,7,0,10,1,112,6,4,1
63296,30-Sep-20,30,4,0,16,2,98,8,5,1
63330,NONE,17,0,0,3,0,29,47,29,11
63754,30-Nov-20,27,8,0,8,1,154,2,1,1
63908,"December 31, 2020",38,9,0,3,2,128,44,28,9
64040,31-Dec-20,30,1,1,13,1,215,34,22,12
64472,30-Sep-20,0,0,0,0,0,0,21,13,3
64996,31-Dec-20,29,2,0,13,0,24,46,29,11
65011,30-Jun-20,58,1,0,44,1,56,8,5,1
65172,NONE,0,0,0,0,0,3,48,29,11
65270,"May 2, 2020",38,8,2,7,7,101,37,23,6
65312,30-Jun-20,20,1,0,3,0,6,42,26,9
65596,NONE,0,0,0,0,0,0,48,29,11
65770,NONE,8,10,0,10,16,30,37,23,6
66004,31-Dec-20,15,0,0,4,0,0,31,20,8
66382,30-May-20,34,3,0,12,0,103,39,24,3
66418,NONE,8,2,0,15,1,34,30,19,4
66570,31-Dec-20,14,3,0,7,2,73,12,8,10
66740,"December 31, 2020",24,5,0,10,4,171,39,24,3
66756,31-Dec-20,28,3,0,16,0,27,31,20,8
67215,30-Jan-21,34,2,0,22,0,3,18,11,12
67347,31-Mar-20,10,1,1,3,2,9,23,15,2
67625,30-Sep-20,15,3,0,11,1,24,48,29,11
67716,31-Dec-20,33,1,0,15,0,25,31,20,8
68505,31-Dec-20,25,6,0,15,1,130,37,23,6
68709,"October 3, 2020",56,2,2,13,2,115,38,23,6
69422,NONE,16,0,2,2,0,29,44,28,12
69633,NONE,12,2,0,9,1,18,37,23,6
69733,NONE,23,3,0,12,0,67,2,1,1
69891,2-May-20,1,0,0,5,0,6,3,1,1
70145,30-Sep-20,21,4,1,19,1,20,31,20,8
70318,31-Dec-20,82,4,1,46,0,9,11,8,10
70415,"December 31, 2020",36,1,1,13,0,106,33,22,12
70487,31-Dec-20,16,0,0,4,0,8,34,22,12
70858,31-Dec-20,74,2,0,16,0,214,45,29,11
70866,"December 31, 2020",38,4,0,10,1,126,36,22,6
71691,"December 27, 2020",0,2,0,11,0,94,8,5,1
71829,31-Dec-20,24,0,1,20,0,103,42,26,9
72162,"December 31, 2020",26,2,0,8,2,68,21,13,3
72333,"January 30, 2021",42,13,0,8,1,28,43,27,9
72444,NONE,45,4,1,9,2,88,13,8,10
72573,"January 31, 2021",56,9,9,21,2,112,9,6,3
72633,NONE,3,0,0,2,0,9,48,29,11
72741,31-Dec-20,57,2,0,28,1,18,31,20,8
72903,31-Dec-20,26,6,0,36,2,18,31,20,8
73088,31-Dec-20,34,3,1,21,0,24,31,20,8
73124,"December 31, 2020",44,1,0,15,1,144,45,29,11
73290,NONE,31,2,0,3,3,79,13,8,10
73756,12/31/2020,27,2,0,14,0,93,30,19,4
74046,31-Jul-20,31,1,0,8,0,34,17,11,3
74260,31-Dec-20,38,0,0,27,0,0,46,29,11
74303,31-Dec-20,13,4,0,18,2,157,14,9,5
75252,31-Dec-20,19,8,0,14,3,56,42,26,9
75288,30-Jan-21,83,13,0,23,6,90,10,7,1
75340,NONE,2,0,0,3,0,9,21,13,3
75362,31-Dec-20,15,1,0,7,0,54,23,15,2
75677,31-Dec-20,35,0,1,5,0,18,40,24,3
76267,NONE,17,2,0,11,0,32,37,23,6
76282,"December 31, 2020",26,7,0,10,5,79,42,26,9
76334,30-Jun-20,25,2,0,8,0,81,17,11,3
76605,31-Dec-20,20,2,0,8,1,20,23,15,2
77159,31-Dec-20,28,3,0,26,2,68,30,19,4
77281,31-Dec-20,56,2,3,28,0,34,48,29,11
77476,26-Dec-20,56,15,0,13,6,219,4,2,1
77543,"December 31, 2020",44,0,0,11,0,25,18,11,12
77877,"December 31, 2020",17,0,0,22,0,28,30,19,4
78003,"December 31, 2020",55,6,0,36,2,288,13,8,10
78239,31-Jan-21,111,13,4,39,2,245,10,7,1
78749,NONE,31,0,5,13,0,77,36,22,6
78814,31-Dec-20,35,3,0,4,3,74,35,23,6
78890,"December 31, 2020",17,11,0,15,0,156,34,22,12
79282,"December 31, 2020",26,0,0,5,0,37,46,29,11
79879,31-Dec-20,21,7,0,10,5,128,14,9,5
80035,31-Dec-20,16,6,0,8,5,124,22,14,2
80172,31-Dec-20,8,2,0,6,0,12,26,30,3
80424,"June 30, 2020",27,14,0,29,3,89,9,6,5
80661,"December 31, 2020",4,0,0,0,0,15,46,29,11
81955,NONE,17,0,0,7,0,3,49,30,11
82020,31-Dec-20,11,1,0,8,0,0,28,17,12
82166,"January 31, 2021",9,3,0,4,0,62,15,30,3
82473,NONE,7,0,0,4,0,9,48,29,11
82811,"January 2, 2021",10,2,0,13,2,107,22,14,3
84129,29-Feb-20,29,3,0,24,1,9,43,27,9
84246,"December 31, 2020",18,0,0,15,0,15,46,29,11
84748,"December 31, 2020",31,3,0,5,0,89,37,23,6
84839,31-Dec-20,9,0,1,3,0,92,34,22,12
85535,"June 30, 2020",16,1,0,10,0,24,48,29,11
85961,"December 31, 2020",49,24,4,14,1,81,33,22,12
86115,31-Dec-20,8,1,0,5,0,15,48,29,11
86312,"December 31, 2020",61,2,1,18,1,151,46,29,11
87050,NONE,1,0,0,0,0,0,37,23,6
87347,"December 31, 2020",18,2,0,26,1,133,30,19,4
88121,"December 31, 2020",11,0,0,3,0,43,49,30,12
88205,31-Dec-20,25,3,0,25,0,95,21,13,3
88790,31-Dec,23,2,0,8,0,74,12,8,10
88941,31-Jan-21,22,6,0,24,1,93,37,23,6
89089,31-Dec-20,21,3,1,7,0,21,33,22,9
89439,"December 26, 2020",6,1,0,6,0,36,19,12,3
89800,"December 31, 2020",27,2,0,20,1,79,14,9,5
90168,30-Sep-20,38,0,2,16,0,59,24,16,3
90498,"December 31, 2020",42,0,0,10,0,27,45,29,11
90896,28-Mar-20,24,6,2,10,0,15,17,11,12
91142,"December 31, 2020",19,3,1,12,4,50,9,6,2
91419,30-Apr-20,33,12,0,17,3,52,2,1,1
91440,2-Jan-21,55,8,0,11,5,113,17,11,3
91576,31-Dec-20,58,2,0,10,0,107,45,29,11
91767,31-Dec-20,27,17,0,19,6,180,40,24,3
91928,31-Dec-20,27,1,0,27,0,24,31,20,8
92122,"December 31, 2020",67,8,0,53,2,53,31,20,8
92230,"December 31, 2020",47,1,0,17,1,37,45,29,11
92380,31-Dec-20,92,3,7,34,0,97,41,25,12
93389,31-Dec-20,0,3,0,5,0,0,22,14,6
93410,31-Dec-20,28,2,0,19,1,153,30,19,4
93556,2-Jan-21,25,19,1,38,3,152,21,13,3
93676,NONE,20,2,1,14,1,80,17,11,3
93751,31-Dec-20,26,1,0,29,1,200,45,29,11
94049,31-Dec-20,10,7,0,9,0,59,9,6,5
94344,31-Dec-20,14,0,0,7,0,66,46,29,11
94845,11/29/2020,102,12,0,14,7,255,10,7,1
95029,31-Dec-20,9,1,0,7,1,13,26,30,3
95552,"December 31, 2020",29,2,3,19,0,61,23,15,2
95574,31-Dec-20,23,2,1,13,0,60,10,7,1
95953,31-Dec-20,26,6,0,8,1,22,19,12,3
96021,27-Jun-20,76,12,2,30,4,91,42,26,9
96223,30-Nov-20,18,2,0,13,3,157,48,29,11
96536,31-May-20,2,1,1,0,0,6,21,13,3
96699,NONE,12,0,7,6,0,53,37,23,6
96793,NONE,35,1,3,25,0,6,43,27,9
96869,31-Dec-20,27,2,0,7,1,43,1,1,1
96885,NONE,19,2,0,4,0,82,38,23,6
96943,31-Dec-20,29,1,0,33,1,82,12,8,10
97134,31-Dec-20,15,4,2,4,2,64,21,13,3
97210,31-Dec-20,0,0,0,0,0,0,38,23,6
97476,31-Dec-20,6,4,0,2,0,58,37,23,6
97745,"December 31, 2020",24,3,0,21,1,88,38,23,6
98222,31-Dec-20,26,0,1,18,0,193,41,25,12
98338,NONE,10,0,3,4,0,8,36,22,6
98362,31-Dec-20,11,6,2,30,1,132,21,13,3
98677,"December 31, 2020",0,0,0,23,0,9,2,1,1
99302,NONE,30,4,0,7,2,54,34,22,12
99780,31-Dec-20,11,6,0,19,0,45,25,16,3
100378,NONE,23,4,1,7,3,97,21,13,3
100493,3-Oct-20,46,18,0,28,13,128,2,1,1
100517,"December 31, 2020",84,1,13,22,0,213,41,25,12
100591,NONE,11,3,0,24,2,60,34,22,12
100716,NONE,6,0,0,6,0,9,46,29,11
100726,NONE,65,29,0,14,9,166,16,10,1
100885,31-Dec,26,11,1,21,6,51,41,25,12
101199,31-Dec-20,23,0,0,18,0,49,46,29,11
101295,NONE,7,0,3,2,0,50,13,8,10
101382,31-Dec-20,33,0,0,12,0,21,45,29,11
101538,NONE,3,0,0,1,0,6,19,12,3
101594,NONE,18,0,0,14,0,43,30,19,4
101778,31-Dec-20,9,2,0,16,1,88,30,19,4
101829,"December 31, 2020",69,7,3,52,4,208,24,16,3
101984,31-Dec-20,16,6,0,16,2,120,6,4,2
102037,31-Mar-20,16,13,0,34,12,122,42,26,9
102109,NONE,5,0,0,0,0,0,37,23,6
102212,31-Dec-20,16,0,0,12,0,6,45,29,11
102729,26-Dec-20,9,3,0,11,1,128,17,11,3
102752,31-Dec-20,47,16,0,14,8,70,34,22,12
103145,31-Dec-20,15,7,0,11,1,49,21,13,3
103379,28-Mar-20,62,18,0,18,8,325,10,7,1
103595,"July 25, 2020",10,2,0,12,0,6,43,27,9
103872,"November 1, 2020",24,0,1,10,0,92,34,22,12
104169,"January 31, 2021",46,14,0,14,4,174,43,27,9
